n1_total,y_CO_1,y_H2O_1,n2_total,T1,T_reactor_in,P_R,T_flash,T4,Q1_MW,Q2_MW,T_reactor_out,X_CO,T3,P3,n3_total,y_CO_3,y_H2_3,y_MeOH_3,y_H2O_3,P4,n4_total,x_CO_4,x_H2_4,x_MeOH_4,x_H2O_4,MeOH_recovery,MeOH_purity_stream4
1235.58638,0.268571895,0.015356547,125.36518,297.684495,497.929429,55.9935869,290.508568,288.508568,2.22542534,-0.00144367477,607.474843,0.135025728,290.508568,55.9935869,1209.28375,0.237306126,0.761190133,0.00139631866,0.000107422344,55.9935869,62.0529125,0.00106176403,0.000381752054,0.694873135,0.303683349,0.962315517,0.694873135
957.315877,0.401041489,0.00620267217,51.348229,305.583501,486.045999,79.109234,350.912427,335.509083,1.48588527,-0.00623927226,623.24991,0.107737405,350.912427,79.109234,895.098021,0.382648815,0.598891572,0.0175411264,0.00091848716,79.109234,30.8402666,0.00169515732,0.000334805909,0.832090131,0.165879905,0.620408044,0.832090131
1330.54701,0.251737954,0.0298527679,16.4178481,313.071667,501.093559,59.389038,353.644783,313.848426,2.0778353,-0.0278629917,610.013813,0.132070831,353.644783,59.389038,1196.46415,0.242934741,0.738678271,0.0138269889,0.00455999904,59.389038,62.0266723,0.000797335464,0.000307294287,0.446477607,0.552417763,0.626025945,0.446477607
878.167385,0.409225754,0.0118658188,221.765156,308.87016,531.417976,54.9973441,329.964254,324.426499,2.02089076,-0.00193596827,617.721619,0.0793616983,329.964254,54.9973441,1014.1417,0.326203334,0.663709482,0.00906349456,0.00102368948,54.9973441,28.7506212,0.00111983863,0.000277310336,0.672279157,0.326323694,0.677712765,0.672279157
1076.22854,0.400703327,0.0229410477,94.964295,300.769362,506.219971,75.1000521,320.306105,309.012242,1.9691857,-0.00815157076,624.187816,0.0962164986,320.306105,75.1000521,1026.52481,0.379571158,0.615908905,0.00396142758,0.000558509737,75.1000521,61.6816097,0.00187962345,0.000364483405,0.606772481,0.390983412,0.901995917,0.606772481
1451.60417,0.421993094,0.025165339,266.613972,296.03981,524.448994,77.9414658,344.731948,300.11292,3.20710592,-0.0383768661,630.851614,0.0897008586,344.731948,77.9414658,1533.98305,0.363431371,0.625299871,0.00931760619,0.00195115148,77.9414658,74.3395322,0.00163563533,0.000351519972,0.546879015,0.451133829,0.739879392,0.546879015
1016.30493,0.3341689,0.0121853653,278.525599,298.324538,500.010651,62.3476497,347.222757,285.350119,2.13184867,-0.0264896565,614.022217,0.130410762,347.222757,62.3476497,1170.92748,0.252189871,0.729539573,0.0165120681,0.00175848869,62.3476497,35.3234915,0.000896645746,0.000325347256,0.706480061,0.292297946,0.563456044,0.706480061
1388.07478,0.401760691,0.0161353576,188.940264,307.876623,486.102304,73.0595574,312.560642,280.999089,2.30833629,-0.0300333504,618.908943,0.112531271,312.560642,73.0595574,1371.22287,0.360825336,0.635492814,0.00341302494,0.000268824941,73.0595574,80.2806692,0.00182083732,0.000377353602,0.723408681,0.274393128,0.925424877,0.723408681
1335.65045,0.379411544,0.0116591873,163.819799,298.097215,480.907941,72.1300955,338.635024,328.632477,2.23390405,-0.00775761948,617.574826,0.121058301,338.635024,72.1300955,1315.4659,0.338529759,0.649518924,0.0111085688,0.000842747831,72.1300955,61.3090492,0.00145484951,0.000345043795,0.762280727,0.235919379,0.761801089,0.762280727
1369.44403,0.421211439,0.0197324721,250.630071,300.197886,535.748336,69.6071901,308.583027,295.075899,3.127378,-0.0106603762,629.03866,0.0787538665,308.583027,69.6071901,1460.74537,0.363701661,0.633475683,0.00250155466,0.000321101404,69.6071901,68.4742556,0.00179243163,0.000364341763,0.610055605,0.387787622,0.919560718,0.610055605
1599.57976,0.408733201,0.0364362457,327.914386,297.217044,508.390395,74.8451707,315.867599,312.43174,3.33092446,-0.00468422707,624.03957,0.102641024,315.867599,74.8451707,1673.21114,0.350512414,0.646152681,0.00279030483,0.000544600528,74.8451707,120.069327,0.00177597181,0.000387829599,0.520016836,0.477819363,0.930427821,0.520016836
